gene_short_name	Day00_BR1	Day00_BR4	Day00_BR5	Day00_BR6	Day00_BR7
Migut.G01214	0	0	0	0	0
Migut.H00946	0	0.087843547	0	0	0
Migut.L00496	0.457584515	0	0	0	0
Migut.G01212	0.605905012	0	0	0	0
Migut.M00087	0	0	0	0	0
Migut.D00325	0	0.305409542	0	0	0
Migut.N03181	0	0	0.727197472	0	0
Migut.C00451	0	0.144579196	0.277778517	0.142340541	0
Migut.K00030	0	0	0	0	0
Migut.F01694	0	0	0	0	0
Migut.F01696	0	0	0.097044418	0	0
Migut.H00772	0.147080737	0.351766348	0.337922527	0.259739716	0
Migut.J00863	0	0	0	0	0
Migut.H01716	0.474044389	0.188958422	0.272282899	0	0.124900444
Migut.F01926	0	0	0	0	0
Migut.N02351	0	0.086115477	0	0	0
Migut.F01429	0	0	0	0	0
Migut.D02407	0	0	0	0	0
Migut.A00993	0	0	0.072365818	0	0
Migut.F01743	0	0	0	0	0
Migut.L00497	0.452867148	0	1.56071435	1.066331204	0.715924196
Migut.H02330	0	0	0	0	0
Migut.N01875	0	1.436379253	0.591364422	0.808079116	0.271268152
Migut.G00539	0	0	0	0.14527265	0
Migut.A00705	0	0	0	0	0
Migut.F01692	0.161500417	0	0.27828914	0.095068131	0
Migut.E00881	0.323000834	0	0	0	0
Migut.G00700	0	0	0	0	0
Migut.M01085	0	0	0	0	0
Migut.M01442	0	0	0.077955351	0	0
Migut.O00792	0	0	0.069508399	0	0
Migut.F01690	0	0.198978944	0.382296192	0.489744918	0
Migut.N02333	0	0	0.188295139	0	0
Migut.C00659	0.477479493	0	0	0	0
Migut.N00652	0.725684693	0.52067618	0.583549033	0.085435677	1.720819997
Migut.D00530	0.499183107	0.298468416	1.720332863	1.175387804	0
Migut.J00932	0.336184541	0	0	0	0
Migut.A01024	0	0	0	0	0
Migut.F01974	0	0.552952013	0.265595249	0	0
Migut.L00621	0	0	0	0	0
Migut.J01425	0.419695351	0	0.120532876	0.864696124	0
Migut.H00944	0.287424951	1.031131889	1.320735372	0.507582956	1.135953877
Migut.B01841	0.311546904	0.18627816	0.536841461	0	0
Migut.F01937	4.429725721	1.103580699	4.240596414	4.563270299	1.167136924
Migut.F01895	0.585708179	0.350202942	0.168210324	0	0
Migut.C01003	0	0	0	0	0
Migut.K01413	0.100598733	0.06014936	0.115564345	0.059218012	0
Migut.M01355	0.36914381	0	0.636089462	0	0
Migut.D01008	0	1.236010383	0	0	0
Migut.G01284	0.112732541	0.06740433	0.194254866	0.132721292	0
Migut.N01289	0.691781313	0.413625522	0.397347223	0.203610486	0.546808244
Migut.I00824	0	0	0	0	0
Migut.G00626	0	0	0	0	0
Migut.G00536	0	0	0	0	0
Migut.K01326	0	0	0.12829601	0	0
Migut.M00123	0	0	0	0	0
Migut.F01745	0	0	0	0	0
Migut.A00283	0.107316238	0	0.246562365	0	0
Migut.I00636	0	0	0.206815973	0	0
Migut.E00474	0.655643484	0	0	0	0
Migut.K01027	0	0	0	0	0
Migut.D01776	0	0	0	0	0.041583621
Migut.M01514	0.346800895	0	0.298794655	0.102073151	0
Migut.A01017	0	0	0.299188324	0.511038176	0
Migut.K00311	0	0	0	0	0
Migut.H00438	0.074707676	0	0	0	0
Migut.I00067	0.372272147	0.222586616	0.106913342	0.10957005	0
Migut.K01130	0	0	0.042983899	0	0
Migut.L01838	0	0.041254273	0.118892114	0	0
Migut.F01972	0	0	0.178947154	0	0
Migut.M00399	0.103117637	0	0	0	0
Migut.D00501	0	0	0.058769135	0	0
Migut.F01738	0	0	0	0	0
Migut.H00766	2.553017661	2.6168301	3.421621451	3.005696489	2.786754746
Migut.F01931	0	0	0	0	0
Migut.F01927	0	0	0	0	0
Migut.C00658	0	0	0	0	0
Migut.H02255	0	0	0	0.067339926	0
Migut.N00852	0	0.064852397	0.06230012	0	0
Migut.O00517	0	0.098004555	0.376590279	0	0
Migut.E00352	0	0.091198683	0	0	0
Migut.G00540	0.385334328	0.691190017	0.442658748	0.226829225	0
Migut.F01925	1.211810025	0	0	0	0
Migut.L01156	0	0	0.125218604	0	0
Migut.A01153	0	0	0	0	0
Migut.F00291	0	0	0	0	0
Migut.A01016	0	0.083647199	0	0	0
Migut.D02250	0.06332741	0	0	0	0
Migut.C00654	0.116830089	0.838251722	0.603946643	0.481408835	0.461733025
Migut.I00177	0	0	0	0	0
Migut.J00460	0	0	0	0	0
Migut.H00570	0	0	0	0	0
Migut.N01748	0	0	0	0	0
Migut.D01439	0	0	0	0	0
Migut.B01455	0	0	0.331994061	0.08506096	0
Migut.M01632	0	0.221543567	0.141883123	0	0
Migut.M01632	0	0.221543567	0.141883123	0	0
Migut.O00210	0	0	0	0	0
Migut.F01936	0	0	0	0	0
Migut.B00676	0	0	0	0	0
Migut.M00592	0	0	0	0	0
Migut.J01352	0	0	0.249817313	0	0
Migut.L00801	0	0	0	0	0
Migut.B00981	0	0	0	0	0
Migut.F01739	0	0	0	0	0
Migut.E01748	0	0	0	0	0
Migut.H01918	0	0	0	0	0
Migut.A01015	0.641286327	0.095858469	0.092085944	0.094374203	0
Migut.M01573	1.036311981	0.103270854	2.281752107	0	0
Migut.F01691	0	0	0	0	0
Migut.N01866	0.213243269	0.297502499	0.040827749	0.083684569	0
Migut.G00616	0	0	0	0	0
Migut.F01923	0	0	0	0	0
Migut.N02144	0	0	0	0	0
Migut.C01223	0	0.067519847	0	0	0
Migut.M01476	0	0.677326606	0	0	0
Migut.O00644	0	0	0	0	0
Migut.A00296	0	0	0	0	0
Migut.E00880	0	0	0	0	0
Migut.B00635	0.200890762	0.690663195	0.403858629	0.11825548	0.119093335
Migut.B00635	0.200890762	0.690663195	0.403858629	0.11825548	0.119093335
Migut.F01737	0	0	0.197121474	0	0
Migut.J01617	0	0	0	0	0
Migut.B01425	0.209181492	0.187608719	0.240300463	0	0
Migut.I00069	0	0	0	0	0
Migut.D01916	0	0	0	0	0
Migut.E01594	0	0	0	0	0
Migut.A00117	0	0	0.06728413	0	0
Migut.G00651	0	0	0	0	0
Migut.D02298	0	0	0	0	0
Migut.F01740	0	0	0.360450695	0	0
Migut.D02318	0	0	0	0	0
Migut.M00283	0	0.102866399	0	0	0
Migut.L00176	0.204793069	0.183672872	0.352888792	0.542486679	0.647502536
Migut.N01742	0	0	0	0	0
Migut.J01354	0	0	1.009261946	0	0
Migut.M00282	0	0.055883448	0.053684146	0	0
Migut.D01911	0	0	0	0	0
Migut.E00740	0	0.729589462	2.102629055	0.718292547	0
Migut.H00969	0	0	0	0	0
Migut.F00958	0	0.159183155	0	0	0.631314973
Migut.A00116	0.839390702	0.301129918	0.674984104	0.197644828	0
Migut.F01403	0	0	0	0	0
Migut.F00141	1.436341583	1.359779815	0.756258952	1.620561932	0
Migut.O00733	0	0	0	0	0
Migut.D02518	0	0	0	0	0
Migut.A01023	0	0.102598518	0.098560737	0	0
Migut.L01337	0	0	0	0	0
Migut.J01355	0	0	0	1.989117823	0
Migut.C00920	0	0	0.09414757	0.289461176	0
Migut.M00594	0	0	0	0	0
Migut.N01138	0.141096724	0.084363664	0.121565277	0	0.055763903
Migut.H02267	1.782475296	1.243394124	0.614293791	0.139901885	0
Migut.N03262	0	0	0	0	0
Migut.K00107	2.517370395	0	0	0.592745712	0
Migut.D01915	0	0	0	0	0
Migut.C00189	0	0	0	1.6528891	0
Migut.H00101	0	0	0	0	0.092346605
Migut.D00639	0.337620001	0.067289207	0.06464103	0	0
Migut.G00702	0	0	0.184171888	0.943742033	0
Migut.C00870	0.12586852	0	0	0	0.099490898
