gene_short_name	Day04_BR2	Day04_BR3	Day04_BR4
Migut.H00946	187.495659	161.235695	183.9895934
Migut.G01214	101.2467256	98.23640573	174.3366183
Migut.H00772	1170.319905	1271.390038	1000.019618
Migut.A00993	93.46489799	65.35130504	160.4196894
Migut.M00087	76.39317419	81.72098966	67.6551419
Migut.F01696	117.8153928	85.41542861	181.2281299
Migut.H01716	682.1587187	683.0884732	783.0166859
Migut.L00496	276.230818	321.354615	384.3880299
Migut.C00451	421.0417914	414.1703325	546.4679931
Migut.M00123	28.11004245	39.77679274	50.35290585
Migut.G01212	246.4412058	221.7682528	399.6049115
Migut.N02351	72.06829843	72.40131316	96.45673553
Migut.F01743	37.53506938	43.82629334	86.42599995
Migut.D00325	222.9973363	195.7193474	302.6677401
Migut.G00536	15.52339066	15.42273221	23.34243291
Migut.K00030	91.01906225	87.58815812	96.1992601
Migut.L00621	74.54585513	69.72111985	79.44177987
Migut.G01284	174.817135	241.5726949	152.9235877
Migut.F01692	185.0517884	150.3636654	246.1400886
Migut.G00539	57.21224444	94.70216887	90.46024592
Migut.J00460	11.32469262	19.5841663	25.0483647
Migut.A01024	18.6020139	14.04791563	27.96896994
Migut.F01694	16.49255764	13.82187124	19.71278367
Migut.H00944	1226.51335	1166.743304	1122.161275
Migut.F01926	26.16116759	32.08170908	26.3402736
Migut.E00474	131.5298255	184.4793278	199.851057
Migut.D02407	29.26514759	25.42855299	20.22706361
Migut.M01355	250.4638675	217.6552321	340.6156618
Migut.F01690	270.4827726	198.3130049	425.8443386
Migut.G00626	6.314240826	6.960080731	5.596872309
Migut.J00932	67.59691996	82.67249618	82.27621016
Migut.I00636	54.29916522	52.9213239	86.83090904
Migut.C00659	85.48588052	90.65831937	133.436995
Migut.A01017	168.1023049	150.4352178	275.6310171
Migut.J01425	266.6522831	252.2619393	376.1562385
Migut.F01738	17.90957554	20.02747606	30.30910516
Migut.H02255	20.90111512	11.71060181	36.13096147
Migut.K01326	51.88446819	41.51547502	31.76472282
Migut.N01289	373.1485437	295.7296567	448.996868
Migut.D00530	609.5601597	518.4305427	936.8942318
Migut.H00766	2471.643582	2425.356912	2159.573416
Migut.K01027	15.1612241	11.73591119	31.81325151
Migut.F01974	146.6803886	188.2841646	178.1597897
Migut.A01015	110.6180574	83.15993318	198.214231
Migut.K01413	55.18683326	44.24189354	72.41845531
Migut.L00497	672.9589522	652.1408407	569.3897857
Migut.G00700	19.44050793	17.89277916	17.41972605
Migut.N01748	23.49765741	23.15610085	19.37073537
Migut.B01841	198.5125477	160.7107147	131.7141314
Migut.C01003	8.99290136	7.695083659	15.48786274
Migut.H02267	360.8586888	518.1195787	506.6150339
Migut.N02333	35.06458735	41.15163868	35.0552487
Migut.F01937	1827.132219	2038.274749	2378.205409
Migut.L00801	3.605545534	4.700616715	4.329218403
Migut.A00283	45.07768368	50.87856174	45.31143106
Migut.M00399	15.90549861	15.3327889	7.048037516
Migut.H02431	2.276795164	1.804966363	4.579957592
Migut.D01439	4.636818291	3.320312909	2.630305044
Migut.M00282	16.04690768	14.00428179	24.72859834
Migut.H02330	17.97097213	12.64654205	7.247554049
Migut.E00881	30.24885003	33.43467253	48.24879857
Migut.F01739	12.26876435	10.54077688	15.06989028
Migut.D01008	155.8705449	180.2886209	119.3579135
Migut.A01153	5.204103231	4.781319059	6.092408704
Migut.F00291	3.487672287	3.063681084	4.295063274
Migut.B00635	159.3136842	110.9531252	164.5479007
Migut.B00635	159.3136842	110.9531252	164.5479007
Migut.N00652	367.3169828	289.1818022	365.9212978
Migut.I00824	3.765622608	4.320768899	3.391068538
Migut.H00438	7.579360382	5.383325333	9.100621845
Migut.F01931	11.3981174	9.284285719	12.63308828
Migut.N01742	4.263882844	5.465807335	3.858318076
Migut.M01350	30.84196474	25.33329568	42.72956331
Migut.N01138	27.7874875	24.97424911	45.38071769
Migut.F01895	80.39472141	88.26260957	91.84957019
Migut.M01514	61.21412019	49.28576009	71.97120262
Migut.H00570	7.562212507	5.281368414	9.492760939
Migut.E00352	12.53366703	10.03142799	14.29264328
Migut.F01936	7.020720748	11.16541551	9.685367683
Migut.O00644	4.565864155	10.11207442	8.375711047
Migut.A00705	2.656361598	2.330443867	1.617222804
Migut.N02144	3.074387858	3.700166766	2.377545038
Migut.M01712	2.416328257	3.344669585	1.880480042
Migut.M01712	2.416328257	3.344669585	1.880480042
Migut.I00410	235.9158491	263.7437287	268.7916297
Migut.J01710	128.9247103	118.5899532	150.7209784
Migut.O00517	29.57163697	51.9316807	39.57267766
Migut.M01573	224.4678753	205.751682	250.2899571
Migut.B00676	3.771677061	5.26250257	3.260659943
Migut.N01875	247.6624596	213.5385715	214.8940955
Migut.B01089	3.910497722	3.916386237	4.603311636
Migut.F01972	19.02173548	19.42069612	23.86996645
Migut.G00540	96.31870667	106.1081756	136.9969771
Migut.H01813	6.769980721	6.459990399	8.820602711
Migut.F01691	3.062229262	2.046992843	6.008515137
Migut.H00101	6.650456389	3.073458789	12.04231221
Migut.B01425	38.21918194	38.40105404	35.39771284
Migut.J00863	3.778360352	1.03991615	1.424318777
Migut.A01019	7.738077915	5.45287734	16.23612993
Migut.A00296	1.170679589	2.164083342	1.768395785
Migut.C01105	950.7217929	965.2465453	915.39303
Migut.C01105	950.7217929	965.2465453	915.39303
Migut.N01139	22.57080495	19.17147041	36.83671708
Migut.H01918	5.549006046	4.889552763	7.475283782
Migut.H00598	1.735344512	2.75822208	3.305095797
Migut.E01379	18.12358622	13.63415059	21.5927167
Migut.L00110	17.98233123	9.600834988	18.19862081
Migut.K01202	1273.23979	1202.058483	1529.297545
Migut.F01737	17.80270861	18.44910453	17.78172973
Migut.B01291	1.702749836	2.682749876	1.623581917
Migut.A01016	6.807596822	8.800765406	5.166557602
Migut.L00895	3.40640203	4.752845789	7.525792456
Migut.C00965	202.8090867	149.2022262	267.293448
Migut.N01801	2117.583898	2375.411808	2247.439565
Migut.E01594	4.744917652	5.356936483	6.409434496
Migut.F01429	1.904955512	0.650701589	0.774731036
Migut.B01455	21.35993357	27.10551527	20.15129954
Migut.B00981	0.908474917	0.838337649	1.858427058
Migut.D00351	8.563093575	10.39060956	13.88710807
Migut.K00311	4.93858776	3.204360317	2.347219209
Migut.D00639	14.56904476	12.29292224	25.49542774
Migut.M00592	1.845848972	1.437195932	1.329798767
Migut.N02827	8.999148455	5.759033723	13.91377324
Migut.D02298	3.666527276	5.057063191	4.087979866
Migut.M00283	7.89787207	8.953467982	3.793224941
Migut.O00210	1.374947729	1.55716022	1.100609964
Migut.N01137	6.300818232	3.65896753	12.84552427
Migut.A01023	8.349942977	7.752549242	15.98464002
Migut.O00565	2.012995367	3.313799789	3.58237753
Migut.K01130	3.607188249	2.739045712	2.186220133
Migut.E01748	4.430387126	5.328948309	3.852134874
Migut.O00724	2.414389398	1.203114898	2.40201536
Migut.D02201	1.491140494	1.946084745	2.643014068
Migut.C00189	62.21638472	89.49778366	56.13110816
Migut.A01151	7.630340548	6.959524192	10.47066777
Migut.N03181	34.02665401	30.67320041	17.25602627
Migut.M01085	3.09277519	1.691518683	1.35860831
Migut.M01086	0.937001415	1.471804771	0.880487971
Migut.D02318	1.151021691	1.089775143	1.437326254
Migut.I00177	0.78133561	1.297825049	0.848809898
Migut.I00031	97.42996184	110.8508577	102.239804
Migut.F01130	131.0783501	115.6046305	81.05339481
Migut.O00213	3.303035348	3.681699509	6.679563919
Migut.F01925	30.73561313	32.22569923	26.05029929
Migut.C00654	72.18963145	53.58508585	111.7294743
Migut.A00062	42.04775477	23.18970913	47.02578965
Migut.A00062	42.04775477	23.18970913	47.02578965
Migut.A00062	42.04775477	23.18970913	47.02578965
Migut.D02203	228.5743035	187.3397216	165.4418929
Migut.F01402	37.7396691	29.77444135	48.37408587
Migut.F00465	0.78300838	1.334829987	0.890684358
Migut.J01014	0.650512904	0.858063241	1.286481476
Migut.L01154	23.05189644	24.53794803	28.58829459
Migut.D01915	1.839696142	1.498516291	1.784146678
Migut.F01927	3.095831133	4.017406965	2.168365899
Migut.E00880	3.819299246	2.28383499	4.952744838
Migut.J01617	1.424145482	1.06449936	1.573188254
