gene_short_name	Day06_BR1	Day06_BR2	Day06_BR3	Day06_BR4
Migut.F01429	164.4699454	165.8830753	173.8590642	159.990541
Migut.A00117	680.7417789	523.4978852	556.9323793	532.5693161
Migut.J01352	2150.459242	1568.308244	1700.199671	1299.143187
Migut.N03181	2491.794093	3493.536374	2137.3012	1809.842678
Migut.K01192	1940.419522	2022.063344	1836.305177	1638.074071
Migut.H00772	2932.281441	3062.99511	3070.905279	2647.548731
Migut.J01354	3376.602531	2323.385774	3549.683188	2666.684117
Migut.H00946	359.1606532	362.1374793	343.6691201	344.7095623
Migut.C00451	1646.276406	2007.441584	1055.251148	1321.643223
Migut.G00536	85.26899594	130.4855731	74.02417855	82.38861642
Migut.L00621	420.4203591	621.4124965	314.6147815	350.6205996
Migut.D01916	109.4651239	136.8154292	72.45921092	109.1238188
Migut.E00740	7181.119467	6573.773526	8298.94655	5380.546373
Migut.L01156	327.8665905	367.0067031	278.9391714	190.9496561
Migut.N00721	128.3458797	177.4662388	82.00349195	127.2989841
Migut.I00156	1063.231934	1049.077902	603.9861767	659.756971
Migut.A00116	2730.542138	2402.233864	2864.646015	2890.155347
Migut.O00792	196.1269069	109.2270164	272.6795476	130.3660823
Migut.J00863	62.35540559	48.00209598	52.39819467	52.60606847
Migut.G00700	212.0253733	205.8137699	164.396825	128.3780293
Migut.K01413	493.3187804	552.2445797	403.9730888	510.7130871
Migut.M00596	60.13590913	76.73781713	54.37017504	61.21735302
Migut.M01442	202.7188834	282.1809966	145.4505142	126.3647677
Migut.D01439	40.80051916	54.44541179	27.54604686	52.82204897
Migut.A01016	195.3337317	153.6124915	228.107181	125.1412642
Migut.L00497	4819.639696	5984.270773	4028.973248	4305.516384
Migut.F01692	709.31445	849.7161564	441.0340747	636.8915062
Migut.N01875	3783.181378	3665.569683	3606.60993	3441.475221
Migut.I00067	851.8595961	752.5573675	900.0814468	847.9124831
Migut.F01931	159.4491987	165.7722207	89.26068215	124.9175305
Migut.D00325	715.0493135	730.2198167	186.440088	388.215931
Migut.L01838	184.2431317	193.961462	157.0326857	212.3757788
Migut.F01974	1196.708196	1156.23427	730.5471847	815.449992
Migut.D00501	90.68054196	100.2107715	120.1475436	74.30601535
Migut.D02250	65.12821667	48.96801995	51.37521529	54.46353649
Migut.D01212	345.3752016	357.8955515	252.8568899	270.0958113
Migut.M01085	48.70954324	74.89974548	43.34103362	55.98401551
Migut.N01841	35.64229994	29.81962609	28.88001853	40.63355686
Migut.M01355	990.6395594	1475.577944	374.9557987	610.5095016
Migut.F01737	356.2693033	340.5820166	205.9548452	223.4355302
Migut.C00589	50.81714274	52.89055818	31.00153581	44.54227242
Migut.H02547	17.29173486	13.37391291	57.05160795	28.30116515
Migut.I00177	22.50528358	30.07641051	18.46222382	28.78711565
